,camera_0,camera_1,camera_2,camera_3
93,1656236868201445433,1656236868201437675,1656236868202036529,1656236868201795332
94,1656236868301396251,1656236868301443263,1656236868302069558,1656236868302328766
95,1656236868401639211,1656236868401438611,1656236868402136605,1656236868402274811
96,1656236868501501800,1656236868501610447,1656236868502044156,1656236868502230233
97,1656236868601539374,1656236868601505855,1656236868601942939,1656236868602130965
98,1656236868701480271,1656236868701568918,1656236868702055492,1656236868702201592
99,1656236868801475923,1656236868801523400,1656236868802196878,1656236868802414659
100,1656236868901505048,1656236868901584223,1656236868902384665,1656236868902087251
101,1656236869002045238,1656236869001503439,1656236869003100540,1656236869002132693
102,1656236869101398491,1656236869101923221,1656236869102065074,1656236869102099124
103,1656236869201458434,1656236869201633181,1656236869202124856,1656236869202300478
104,1656236869301638702,1656236869301584784,1656236869302263522,1656236869302352480
105,1656236869401734199,1656236869401565635,1656236869402098590,1656236869401880970
106,1656236869501802302,1656236869501565207,1656236869502051328,1656236869502259740
107,1656236869601559894,1656236869601569867,1656236869602110214,1656236869602396003
108,1656236869701455861,1656236869701442266,1656236869702089481,1656236869702307103
109,1656236869801516252,1656236869801513362,1656236869802115789,1656236869802130135
110,1656236869901760172,1656236869901476740,1656236869902018476,1656236869902211035
111,1656236870003359454,1656236870001515290,1656236870002620203,1656236870002652112
112,1656236870101719698,1656236870101448011,1656236870102163226,1656236870102201883
113,1656236870201736854,1656236870201502466,1656236870201976693,1656236870202069972
114,1656236870301743867,1656236870301539544,1656236870302062877,1656236870302198395
115,1656236870401529748,1656236870401512267,1656236870402022846,1656236870402244221
116,1656236870501627261,1656236870501463389,1656236870502061475,1656236870502175258
117,1656236870601635457,1656236870601505587,1656236870602029478,1656236870601924302
118,1656236870701718537,1656236870701526760,1656236870701996648,1656236870701607359
119,1656236870801671691,1656236870801555677,1656236870802070638,1656236870814982081
120,1656236870901678831,1656236870901500783,1656236870901889098,1656236870902534508
121,1656236871001583214,1656236871001515396,1656236871002102711,1656236871003518971
122,1656236871101889121,1656236871101841638,1656236871102051128,1656236871102311905
123,1656236871201708892,1656236871201557230,1656236871202113759,1656236871202326274
124,1656236871301334862,1656236871301564547,1656236871302184069,1656236871302194428
125,1656236871401532987,1656236871401554967,1656236871402011297,1656236871402298913
126,1656236871502017239,1656236871501535530,1656236871502003300,1656236871502202941
127,1656236871601713132,1656236871601546911,1656236871601958726,1656236871602070263
128,1656236871701706416,1656236871701499409,1656236871701994123,1656236871702134522
129,1656236871801525643,1656236871801520870,1656236871802009135,1656236871801828715
130,1656236871901573489,1656236871901507194,1656236871901907118,1656236871902103961
131,1656236872002508578,1656236872001595217,1656236872002409896,1656236872002405191
132,1656236872101687774,1656236872101567108,1656236872101993625,1656236872102514477
133,1656236872201546971,1656236872201602522,1656236872201976956,1656236872202257568
134,1656236872301615139,1656236872301597134,1656236872302086596,1656236872302263425
135,1656236872401618631,1656236872401493342,1656236872401826172,1656236872402198686
136,1656236872501759217,1656236872501595607,1656236872502113036,1656236872502234496
137,1656236872601616046,1656236872601609163,1656236872601800514,1656236872602187518
138,1656236872701681333,1656236872701600319,1656236872701699905,1656236872702286339
139,1656236872801581140,1656236872801612052,1656236872802055028,1656236872802194078
140,1656236872901134243,1656236872901504483,1656236872902004662,1656236872902152701
141,1656236873002438726,1656236873001604956,1656236873002148736,1656236873001632868
142,1656236873101783754,1656236873101525453,1656236873102090337,1656236873102683030
143,1656236873201592645,1656236873201585956,1656236873201953854,1656236873202319589
144,1656236873301577256,1656236873301906341,1656236873302140586,1656236873302228769
145,1656236873401916412,1656236873401428613,1656236873402127533,1656236873402170782
146,1656236873501772473,1656236873501595681,1656236873502028588,1656236873502225633
147,1656236873601687481,1656236873602293714,1656236873602052080,1656236873602339143
148,1656236873701323979,1656236873701525766,1656236873701899212,1656236873702168255
149,1656236873801601821,1656236873801693313,1656236873801526431,1656236873802168223
150,1656236873901791370,1656236873901599762,1656236873901601509,1656236873902191520
151,1656236874001576771,1656236874001701834,1656236874001600872,1656236874002278980
152,1656236874101633002,1656236874101806048,1656236874102191045,1656236874102184480
153,1656236874201458149,1656236874201542079,1656236874202331695,1656236874201938772
154,1656236874301531693,1656236874301513799,1656236874302226317,1656236874302140894
155,1656236874401553298,1656236874401498224,1656236874402088042,1656236874402247619
156,1656236874501796705,1656236874501578877,1656236874502215027,1656236874502252196
